code,name,sector
7238,曙ブレーキ工業,輸送用機器
3315,日本コークス工業,石油・石炭製品
8165,千趣会,小売
7992,セーラー万年筆,その他製品
6803,ティアック,電気機器
6993,大黒屋ホールディングス,リユース・中古
8166,タカキュー,アパレル小売
7615,京都きもの友禅ホールディングス,アパレル小売
2330,フォーサイド,情報・通信業
2193,クックパッド,ネットサービス
2440,ぐるなび,ネットサービス
9424,日本通信,情報・通信業
4344,ソースネクスト,ITサービス
6054,リブセンス,人材サービス
2930,北の達人コーポレーション,日用品・化粧品
8798,アドバンスクリエイト,その他金融業
9229,サンウェルズ,サービス業
4978,リプロセル,医薬品・バイオ
6548,旅工房,レジャー・エンタメ
6574,コンヴァノ,レジャー・エンタメ
2764,ひらまつ,外食
3011,バナーズ,不動産業
6046,リンクバル,ネットサービス
8518,日本アジア投資,証券・商品先物取引業
3202,ダイトウボウ,繊維製品
6495,宮入バルブ製作所,機械
3940,ノムラシステムコーポレーション,ITサービス
2321,ソフトフロントホールディングス,ITサービス
5216,倉元製作所,電気機器
6343,フリージア・マクロス,機械
7624,NAITO,卸売業
6619,ダブル・スコープ,電気機器
3536,アクサスホールディングス,人材サービス
7527,システムソフト,ITサービス
3840,パス,ITサービス
6659,メディアリンクス,電気機器
3777,環境フレンドリーホールディングス,建設業
7831,ウイルコホールディングス,その他製品
7578,ニチリョク,サービス業
6786,RVH,その他金融業
6740,ジャパンディスプレイ,電気機器
9760,進学会ホールディングス,教育
7610,テイツー,リユース・中古
8202,ラオックスホールディングス,小売
2338,クオンタムソリューションズ,ITサービス
8918,ランド,不動産業
9973,小僧寿し,外食
2134,北浜キャピタルパートナーズ,その他金融業
8894,REVOLUTION,不動産業
3667,enish,情報・通信業
8836,RISE,不動産業
3664,WIZE,情報・通信業
3672,オルトプラス,情報・通信業
3808,OKWAVE,ネットサービス
6573,CRAVIA,不動産業
9704,アゴーラホスピタリティーグループ,サービス業
3823,THE WHY HOW DO COMPANY,アパレル小売
8107,キムラタン,アパレル
2388,ウェッジホールディングス,情報・通信業
7603,ジーイエット,小売
9978,文教堂グループホールディングス,小売
4833,Defコンサルティング,サービス業
3686,ディー・エル・イー,情報・通信業
2315,CAICA DIGITAL,情報・通信業
8783,abc,その他金融業
3133,海帆,外食
2762,SANKO MARKETING FOODS,卸売業
3070,ジェリービーンズグループ,アパレル小売
4772,SM ENTERTAINMENT JAPAN,レジャー・エンタメ
2694,焼肉坂井ホールディングス,外食
6721,ウインテスト,電気機器
7836,アビックス,電気機器
2586,フルッタフルッタ,食品
3266,ファンドクリエーショングループ,不動産業
3346,ヒロタグループホールディングス,食品
3624,アクセルマーク,情報・通信業
5955,ワイズホールディングス,機械
6177,AppBank,ネットサービス
6181,タメニー,サービス業
3807,フィスコ,情報・通信業
8105,Bitcoin Japan,その他金融業
5255,モンスターラボホールディングス,ITサービス
7571,ヤマノホールディングス,サービス業
3323,レカム,卸売業
9980,MRKホールディングス,小売
2776,新都ホールディングス,外食
3237,イントランス,不動産業
6494,NFKホールディングス,機械
3071,ストリーム,リユース・中古
9610,ウィルソン・ラーニング ワールドワイド,サービス業
7918,ヴィア・ホールディングス,外食
6731,ピクセラ,電気機器
7897,ホクシン,パルプ・紙
3719,AIストーム,ITサービス
4829,日本エンタープライズ,ITサービス
2778,パレモ・ホールディングス,アパレル小売
3189,ANAPホールディングス,アパレル小売
7356,Retty,ネットサービス
2673,夢みつけ隊,外食
2926,篠崎屋,食品
6775,TBグループ,電気機器
5131,リンカーズ,ITサービス
4615,神東塗料,化学
3185,夢展望,アパレル小売
5341,ASAHI EITOホールディングス,窯業
4170,Kaizen Platform,ITサービス
3936,グローバルウェイ,人材サービス
7048,ベルトラ,レジャー・エンタメ
3727,アプリックス,電気機器
3521,テルマー湯ホールディングス,サービス業
8912,エリアクエスト,不動産業
2164,地域新聞社,情報・通信業
2901,ウェルディッシュ,食品
5950,日本パワーファスニング,金属製品
3598,山喜,繊維製品
6093,ミトラグループ,サービス業
7601,ポプラ,小売
7602,レダックス,保険業
4814,ネクストウェア,ITサービス
3069,JFLAホールディングス,外食
6081,アライドアーキテクツ,ITサービス
2341,アルバイトタイムス,人材サービス
7138,TORICO,ネットサービス
7810,クロスフォー,その他製品
6552,GameWith,ネットサービス
7524,マルシェ,卸売業
2459,アウンコンサルティング,ITサービス
3111,オーミケンシ,繊維製品
2656,ベクターホールディングス,ITサービス
2666,オートウェーブ,リユース・中古
5244,jig.jp,ITサービス
7074,トゥエンティーフォーセブンホールディングス,サービス業
3985,テモナ,ITサービス
6926,岡谷電機産業,電気機器
6029,アトラグループ,サービス業
9327,イー・ロジット,陸運業
3909,ショーケース,ITサービス
5952,アマテイ,金属製品
7640,トップカルチャー,小売
6444,サンデン,輸送用機器
4558,中京医薬品,医薬品
